raw_text,language,event_date
"devops engineer midtown based high tech firm has an immediate need for an innovative devops engineer to help define dev / ops related processes, build out the automation. in this position, the dev / ops engineer will need to engineer technical solutions as well as perform process engineering. the ideal candidate has strong scripting skills for automation as well experience with configuration management, server deployment, continuous integration experience with tools such as chef, puppet, etc. must have experience with virtualization using vmware linux experience is preferred. experience with go, docker, ansible, microservices, the cloud are highly desired. this is a permanent position with an innovative technology firm in midtown that offers excellent benefits including bleeding edge technology, very generous pto, matching 401(k), high-tech office environment, casual dress a collaborative culture. need is immediate!! category: developer / architect -other",go,2025
"network engineer network engineer job description a network engineer is responsible for analyzing, designing, installing, configuring, maintaining repairing of network infrastructure application components. a network engineer performs a wide variety of evaluation, maintenance, installation training tasks to ensure the computer network performance meets company user satisfaction. a network engineer also provides direction, information, recommendations regarding network configurations installations. primary duties responsibilities: * maintain a thorough understanding of the basics behind the internet its workings (dns, security, ip routing, http, vpn, email routing, spam, etc.) * configure setup cisco firewalls, vpn concentrators security appliances for access to vital business applications * design, setup configure complex switching environments * design, setup configure complex wireless networking that supports open secured access the ability to support voice video applications * maintain a thorough understanding of local area networking * assist in the design of multi-server environments including ip address schemes, dns, wins, etherchannel (bonding), etc. * configuring installing client server network software for upgrading maintaining network telecommunication systems. * maintaining multi-site network operations software applications, operating systems regular maintenance with both private public facilities * managing assigned projects program components to deliver services in accordance with established objectives. * responding to inquiries from staff, administrators, service providers, site personnel outside vendors etc. to provide technical assistance support * supervising the administration of systems servers related network to ensure availability of services to authorized users. date posted: 06/10/2016",go,2025
"sr. web application developer (cloud team) - chicago bluebeam is looking for talented sr. web developers with a passion for building robust, performant, scalable, high availability web applications. you should have extensive web development experience including designing restful services utilizing relational no-sql databases in a testable framework. want a peek at who you would be working with? our software developers are friendly, fun, intelligent, hard-working team members devoted to developing software right. they have an ability to see the big picture throughout the design development process. we are highly-collaborative so you should have a capacity to contribute to learn from the team in constructive debates in order to coalesce multiple points of view into effective unified solutions. we work in small fast-paced scrum-agile teams. you would be working alongside software engineers, product project managers who are self-starters passionate about delivering clean, dependable software solutions. to work well with the team you should have an ability to clearly articulate solutions to complex problems both to technical non-technical people. what we'd need to see:5+ years of experience in a related field (candidates will be considered for engineer senior engineer based on experience)bachelor’s degree higher in a computer science equivalent fieldextensive use of apis understanding of http rest architectureexperience using oo methodologies in designing software solutionsstrong understanding of design patternsproven ability to work in a rapid release production environmentfull understanding of the sdlc experience with developing scalable software systemsability to clearly articulate solutions to complex problems; when developing solutions, ability to see the big picture what we’d love to seecomfort with working in an agile/scrum environmentproven web development experience in .net technologies, particularly c# web apiunderstanding of machine learning algorithmsexperience with cloud technologies such as azure awsexperience developing microservice-based architecturesability propensity to generate share extremely delicious baked goods if you think you are a good match for bluebeam, please send the following:cover letter (try to show us who you are. if you send us the generic one you send to everyone else, we will be bummed.)resumesamples of your web development work (be prepared to discuss) about bluebeam here:",c#,2025
"front end developer this is a fulltime position for a javascript developer for a financial software, data, media company. this role is based our of the midtown, ny location (candidates must work onsite). you'll be part of a team working on the application that is the glue that holds the firm's main product together is used as a communication tool, a price dissemination system a way to receive information from all other applications within the firm. responsibilities: help us design, create build our next-generation user interface be a key contributor in the re-architecting of our application service layers to improve our scalability, stability performance work with the team, our product our customers to define priorities the technology we use work with other teams learn about our search infrastructure, core databases how we support hundreds of applications through our apis required skills experience: 3+ years of production-level development solid javascript knowledge must want to like working on ui preferred: an understanding of c++ fundamentals experience working on other highly visible applications start date: 06/03/2016","c++,javascript",2025
"software engineer manager vanderhouwen has more jobs you may like! find them here: please join our talent network: joining the talent network with vanderhouwen & associates (vha) will enhance your job search application experience. job listings are mobile-friendly easy to review, share, apply. whether you choose to just leave us your information apply, we look forward to connecting with you. summaryour client is seeking an engineering manager to lead a team of 3*6 engineers working on the server side of our industry-disrupting clearing platform.ideal candidate will be:experienced. have extensive experience building back-end applications services, managing engineerspassionate. driven to improve your managerial skill set every day. keen to solve interesting problems with creative simple solutions.pragmatic. would rather deliver a 40% solution in two weeks than an 80% solution in six.introspective. you recognize your strengths seek to maximize them. you recognize your weaknesses work around them.a good team member. we believe in the profound impact that*s possible when teams of like-minded individuals set their sights on a common goal.a mentor coach. you embrace the role of teaching helping others get better.responsibilitiesmanage staffing career development of a distributed team.represent cultural values coach team members.build a team that is results-oriented collaborative.deliver great software in a predictable transparent way.hire software engineers software engineers in test.evaluate business needs effectively prioritize work.qualifications requiredfour years of professional software engineering experience.four years of software engineering management experience.experience with agile software development practices.readiness to travel occasionally.qualifications preferred java oss fluency.deep technical competence.experience with service-oriented architectures.financial services background.",java,2025
"sales engineer - los angles genesis10 is currently seeking a sales engineer for a steel company in los angeles , ca. this is a direct hire position. summary this position leverages strong commercial technical skills industry experience to recognize customer needs apply the company capabilities technology across the full portfolio of the products services. responsibilities: * fully understands leverages the company value proposition to maximize price sales to grow protect business * successfully eliminates price as an objection when delivering new products projects * expected to demonstrate leadership skills by influencing, driving for results, resource commitment * provide customer expertise including leading customer negotiations, developing pricing strategies, managing a portfolio of business accounts * ownership of the technical relationship with customers by providing consistent expert technical support, across the timken portfolio of products service, additional expertise in areas required for assigned customers when necessary. * manage sales process for assigned customer accounts territory * makes target number of customer calls attains sales targets * delivers high-impact customer presentations that focus on capabilities, solutions value proposition * works with customer engineering on complex system analyses, including bearing selection on non-standard part number types * develop customer-based sales plan including sales, won/lost busines, plans to maximize pricing, new business attainment * actively gather submit customer market knowledge into monthly demand planning process * ability to assume leadership role in the regional office such as pricing authority, participating in joint sales calls, mentoring sales engineers, etc... * shares knowledge mentors associates, espcially in solving problems decision making * develops delivers customer-training internal training presentation required skills: * bachelor of engineering master of engineering business * 4 to 8 years of working with responsibility for progressively more complex projects that involve both commerical technical issues * extensive background in working with customers developing long-term customer relationships partnerships desired skills: * bilingual candidate preferredif you have the described qualifications are interested in this exciting opportunity, apply today! about genesis10: genesis10 is a leading u.s. business technology consulting firm with hundreds of clients needing proven talent solutions to power their strategic initiatives. if you are a high performing business it professional with solid, referenced experience, we want to meet you. genesis10 recruiters delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience aspirations. we have benefit options to fit your needs a support staff that works with you from placement throughout your engagement project after project. to about genesis10 to view all our available career opportunities, please visit us at genesis10 is an equal opportunity employer, m/f/d/v start date: 06/07/2016",go,2025
"sr. systems test engineer (perm) our client is the world’s premier voice electronic interdealer broker the source of global market information commentary for professionals in the international financial markets. the group is active in the wholesale markets in interest rates, credit, commodities, foreign exchange equity derivatives.our client is currently seeking a sr. systems test engineer for a fulltime position in parsippany, nj.principal responsibilities & accountabilitiesconduct the entire system certification effort for a project with minimal supervision.serve as the principal system engineer for major test efforts; lead the effort of other system engineers application testers as requiredrepresent the group in requirement, specification, design review meetings contribute constructive feedback to the presenters in the group’s area of expertise.create test tools to perform api level testingperform load performance testing for c / c++, java adobe flash based applications.create status test result reports for management represent the group in status meetings.estimate certification effort for projects ad-hoc testing requests.determine execute appropriate system-side testing for each project outside of requirements.build, install fallback software releases database schemas in lab environments.support operations personnel for critical production issues as needed.write advanced tools scripts to aid certification efforts simplify operations procedures.experience with vm, configuring vm on both windows linux platforms competenciesmastery of solaris linux operating systems.working knowledge of openvms windowsable to install configure new hardware software with minimal assistance.knowledge of mercury interactive suite of automated testing tools (loadrunner/performance center, qtp quality center)working knowledge of tcp/ip routing protocols.knowledge of microsoft office suite of products.working knowledge of sql – can create ad-hoc queries to verify test results troubleshoot issues. oracle dba-type experience a plus.programming experience, preferably c/c++, java shell scripting.knowledge of software methodologies (agile scrum)qualifications & experience minimum of bachelor's degree equivalent in computer science, master’s degree preferred.atleast 4 years relevant experience on systems testing, load performance testing for c/ c++, java adobe flash based applications4 years’ experience with manual testing.knowledge of foreign exchange/banking market data industriesminimum 7 years of work experience in the information technology industry.working knowledge of de facto industry standard software (oracle, hp openview, etc.) a plus.knowledge of networking concepts is preferable.knowledge on tervela any mq messaging is preferableknowledge on google protocol buffer (gpb) fix/fast is preferableknowledge on configuring vm on both windows linux platforms","c,c++,java",2025
"senior product manager do you want a chance to directly improve the customer experience for millions of customers a day?this position is a product manager in the customer experience team for fulfillment by amazon amazon global selling organization. our vision is to transform global commerce by bringing selection from around the world to customers anywhere in the world, with the same great customer experience buyers expect from amazon.in this role, you will set strategy policy, build processes, evangelize for technology solutions that allow third party sellers from all over the world to bring hundreds of millions of new items to amazon’s 11 marketplaces worldwide. you will determine what experience these sellers must offer our customers, create the incentives enforcement mechanisms to achieve this experience, frequently audit the results.responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs stakeholders, driving alignment for new programs at high levels of the organization. this position will also have management responsibility for product managers, data analysts, an operations team.from jeff bezos' annual letter to amazon shareholders:to further globalize marketplace, we’re now helping sellers in each of our geographies - in countries where we don’t have a presence - reach out to our customers in countries outside their home geographies. we hosted merchants from more than 100 different countries last year, helped them connect with customers in 185 nations. almost one-fifth of our overall third-party sales now occur outside the sellers’ home countries, our merchants’ cross-border sales nearly doubled last year. in the eu, sellers can open a single account, manage their business in multiple languages, make products available across our five eu websites. more recently, we’ve started consolidating cross-border shipments for sellers helping them obtain ocean shipping from asia to europe north america at preferential, bulk rates.fulfillment by amazon (fba) is an amazon service for our third-party sellers. the fba team partners with sellers our amazon fulfillment centers to create a seamless experience for sellers to leverage our world-class facilities. 71% of our fba sellers report more than a 20% increase in unit sales after joining fba. in a very real way, we are changing lives with the work we do. our fba employees wake up every day thinking about how to enable our sellers to be successful on our platform. enabling seller success allows us to provide amazon customers with unparalleled selection pricing. fba is a win for sellers a win for customers. want to about fba?· seller’s success stories: sellersuccess· a free book of stories from small businesses/sellers, authors, innovators that are thriving on amazon: transformations-ebook· bs ba in computer science, engineering, math, finance, economics· 3+ years of product management finance experience in technology focused business· excellent written verbal communication skills· superior analytical problem-solving skills· mba· 5+ years of product management experience· prior experience managing technical products online services· proficient with web services, online technologies, virtualization, developer tools, user interface design· entrepreneurial spirit, with track record for delivering results in fast-moving demanding environments· history of developing business strategy in conjunction with senior leadership",go,2025
"frontend/ui developer please join our talent network: joining the talent network with vanderhouwen & associates (vha) will enhance your job search application experience. job listings are mobile-friendly easy to review, share, apply. whether you choose to just leave us your information apply, we look forward to connecting with you. summaryour client is the leading provider of online video publishing management solutions * millions of media files process millions of hits per day. media companies rely on their cloud-based video platform as their open, central hub for managing, monetizing, syndicating billions of internet video views each year. our client*s services provide unmatched versatility for designing supporting streaming video businesses on pcs, mobile devices, tv. some of their customers include syfy, fox sports network, nbc sports, national geographic, comcast, british telecom, travel channel, more. their consulting services team is seeking to add those with engineering knowledge / experience with the latest web mobile technologies come work as a frontend/ui developer. the consulting services team works with a variety of customers to deliver world class ip-based video delivery solutions. current projects include multiple initiatives for major media companies, as well as cable operators telecommunication companies worldwide. the frontend/ui developer will be contributing to html5 video sites for high profile media companies, as well as to administrative consoles for media publishers distributors using the latest javascript technologies. responsibilitiesdesign, estimate, implement features for consumer-facing html5 video players based on client pdk technologies. develop administrative user interfaces for consulting services customers for video management solutions.collaborate with project managers solution architects to plan estimate customer solutions.participate in a highly iterative agile development process as part of small cross-functional engineering team.help the team diagnose address complex client-side interactions.qualifications bs degree in computer science a related field (bonus).high level of communication skills. 4+ years* experience with front end javascript development.css html design implementation from wire frame to reality.comfortable with a wide range of javascript technologies like angular.js, react, node.js, javascript promises.experience in a test-driven development environment.team lead experience (bonus).",javascript,2025
"sr. software storage engineer please join our talent network: joining the talent network with vanderhouwen & associates (vha) will enhance your job search application experience. job listings are mobile-friendly easy to review, share, apply. whether you choose to just leave us your information apply, we look forward to connecting with you. summaryour client leads the world in helping users collaboratively solve some of the world's hardest computer challenges. whether its wrangling petabytes of data for cutting edge movie production, managing global content production workflows, exploring new sources of energy, managing oceans of content blending collaborative high-speed workflows with cutting-edge object storage, our client has the tools technology to help you engineer the solution that works now - preserves your work for decades to come. you are applying to an exceptional team that contributes to enhancing their position as a proven global expert in data management. our client is seeking a passionate sr. software storage engineer who can turn ideas into efficient, reliable maintainable code to work on a popular open source storage project * ceph. in this role, you will develop support the major components of the ceph storage project across both user linux kernel implementations. you will be responsible for the planning, implementation, support interactions with a very active open source community to deliver enterprise-class software. the challenge? build a new storage solution based on open software, open hardware, cloud innovations that will disrupt traditional enterprise storage. you will be coming in on the ground floor of an exciting new solution work in a fast paced environment.responsibilitiesenjoy helping others around you grow as developers be successful. can be autonomous self-driven. have an entrepreneurial mindset.have excellent written verbal communication skills. get inspired on a daily basis, think of new ideas like to share them with others. love open source software development being part of a community.instruct, guide, negotiate, coordinate, analyze organize.interact with others in a team environment also work alone.complete tasks on time with without supervision.use logic reasoning to identify the strengths weaknesses of alternative solutions, conclusions approaches to problems.communicate information ideas so others can understand.analyze information evaluate results.qualifications bachelor's degree in computer science, demonstrated equivalent experience; master's degree in computer science equivalent experience is preferred.8+ years of systems software development experience.solid c c++ development debugging skills.good systems networking programming skills.deep understanding of linux unix internals.experience with clustered computing distributed file systems; client server computing experience.experience dealing with scaling issues distributed design.experience with correct efficient serialization of multi-threaded code.experience with remote file access protocols (e.g. nfs, cifs, s3).experience with git, github, ci.experience working with distributed teams, delivering enterprise quality software, working on open source software projects.",c,2025
