source_type,raw_text,language,event_date,label_gpt,label_genimi,label
stackoverflow_question,Group Consecutive Increasing Numbers in List,Python,2020,data_ai,data_ai,data_ai
stackoverflow_question,OSDev. __attribute__((interrupt)) can't work completely,"C,R",2022,embedded,embedded,embedded
stackoverflow_question,Temporal Disaggregation of Time Series in Python,"R,Python",2020,data_ai,data_ai,data_ai
stackoverflow_question,C/C++: Are IEEE 754 float addition/multiplication/... and int-to-float conversion standardized?,"C++,C",2022,embedded,embedded,embedded
stackoverflow_question,matplotlib blitting (animated plot) can't resize figure,Python,2022,data_ai,data_ai,data_ai
stackoverflow_question,Gdb and dollars in identifiers,C,2020,developer tools,developer tools,developer tools
stackoverflow_question,Get list with all values from all cells of pd DataFrame,"R,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,"How to run ""bundle exec jekyll new .""","Ruby,R",2020,web frontend,web frontend,web frontend
stackoverflow_question,Omit void as function result in C++,"C++,C",2020,embedded,embedded,embedded
stackoverflow_question,How to replace scipy.spatial.distance with np.linalg.norm in Python,"C,Python",2020,developer tools,developer tools,developer tools
stackoverflow_question,C++ : curly brackets with std library type,"C++,C",2022,embedded,embedded,embedded
stackoverflow_question,Take content from one text file and put it in another with PHP?,PHP,2022,web backend,web backend,web backend
stackoverflow_question,How to play a sound every time a button is pressed without freezing Tkinter,"R,Python",2020,embedded,embedded,embedded
stackoverflow_question,find list of colors in mplfinance for seq_col to draw lines,"C,Python",2021,developer tools,developer tools,developer tools
stackoverflow_question,Animation only works when moving the mouse,"R,Python",2022,game,game,game
stackoverflow_question,How to sort an an array having mulitple time slots,"Ruby,R",2022,data_ai,data_ai,data_ai
stackoverflow_question,How would you create a test for a Constructor?,Java,2020,testing_qa,testing_qa,testing_qa
stackoverflow_question,how do you blit text to screen using classes in pygame?,Python,2020,game,game,game
stackoverflow_question,"Overwrite existing files with Python's ""wget""?",Python,2020,developer tools,developer tools,developer tools
stackoverflow_question,Dyamic table name for JPQL / Hibernate query,"R,Java",2020,data_ai,data_ai,data_ai
stackoverflow_question,Python: Replace a specific word in value of dictionary,Python,2021,developer tools,developer tools,developer tools
stackoverflow_question,How do I specify the correct xpath / css selector for drop down list in Selenium (Python),"R,Python",2021,testing_qa,testing_qa,testing_qa
stackoverflow_question,Accessing the data interval of a Dag Run inside a task,"R,Python",2022,data_ai,data_ai,data_ai
stackoverflow_question,How can I get self. variable from a parent class?,Python,2021,developer tools,developer tools,developer tools
stackoverflow_question,Why int is subclass of number.Number?,"R,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,python read csv files in parallel and concatenate the dataframe,"R,Python",2020,data_ai,data_ai,data_ai
stackoverflow_question,Don't want to use for loop in Pandas. How can I use Apply in this case?,"R,Python",2022,data_ai,data_ai,data_ai
stackoverflow_question,How to handle comfirm alert in Playwright python,"R,Python",2022,testing_qa,testing_qa,testing_qa
stackoverflow_question,No color in folium choropleth legend implemented in pyqt5 and tooltips not showing,Python,2021,data_ai,data_ai,data_ai
stackoverflow_question,'_UnreadVariable' object has no attribute 'run' when trying to run keras optimizer,"R,Python",2020,data_ai,data_ai,data_ai
stackoverflow_question,How to show a vertical line in an Altair chart using mark_rule(),"R,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,Remove Semicolons as Line Delimiters Reading csv-file Using pandas.read_csv,"R,Python",2020,data_ai,data_ai,data_ai
stackoverflow_question,Is negative floating point zero guaranteed to evaluate to false in C?,"C,R",2022,security,security,security
stackoverflow_question,Creating a new dataframe column with the number of overlapping words between dataframe and list,"R,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,Extract column data from a CSV file using Python,"C,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,How to sort array of strings by length in reverse/descending order in Swift?,"R,Swift",2020,mobile,mobile,mobile
stackoverflow_question,Remove list of columns from a DataFrame when some do not exist,Python,2020,data_ai,data_ai,data_ai
stackoverflow_question,what's the mearning of `sudog` in the channel struct in Go?,Go,2021,developer tools,developer tools,developer tools
stackoverflow_question,Find row with nan value and delete it,"R,Python",2021,data_ai,data_ai,data_ai
stackoverflow_question,"Check if a value is in a list of routes, if yes new list append 1, else 0",Python,2022,data_ai,data_ai,data_ai
stackoverflow_question,Where are Rust's built in target specifications defined?,"Rust,R",2021,developer tools,developer tools,developer tools
stackoverflow_question,"""Could not load library: gstreamer"" while setting up gstreamer in intellij IDEA","R,Java",2020,developer tools,developer tools,developer tools
stackoverflow_question,Find number in line s.startswith python,Python,2022,developer tools,developer tools,developer tools
stackoverflow_question,"Is it impossible to run Java Web Start application using ""SDKMAN!""","R,Java",2020,web backend,web backend,web backend
stackoverflow_question,How can I get icon of Windows app in CPP?,"C++,C",2022,embedded,embedded,embedded
stackoverflow_question,Using Regular Expressions to Parse Based on Unique Character Sequence,Python,2022,data_ai,data_ai,data_ai
stackoverflow_question,Faster way to create a temporal median filter for a video,"R,Python",2021,embedded,embedded,embedded
stackoverflow_question,VSCode Intellisense not Working for pygame,"C,Python",2020,developer tools,developer tools,developer tools
stackoverflow_question,How do I make it so my square can land on my other square and stay on it,"R,Python",2020,game,game,game
stackoverflow_question,How can I grab rows with max date for each year by ID from Pandas dataframe?,"R,Python",2022,data_ai,data_ai,data_ai
stackoverflow_question,How to find indices and combinations that adds upto given sum?,"R,Python",2020,data_ai,data_ai,data_ai
stackoverflow_question,Disable hover hint for python keyword in VSCode,"C,Python",2022,developer tools,developer tools,developer tools
stackoverflow_question,Ignoring the newline character while splitting the multiline string,"R,Python",2020,web backend,web backend,web backend
stackoverflow_question,How filter java stream by a list of strings without using a for loop,"R,Java",2021,developer tools,developer tools,developer tools
stackoverflow_question,Opening a file in Python return a stream?,Python,2020,developer tools,developer tools,developer tools
stackoverflow_question,Check if DataFrame column contains only strings,Python,2020,data_ai,data_ai,data_ai
stackoverflow_question,Get the wrong answer——about uncertain number of variables,"C,R",2021,data_ai,data_ai,data_ai
stackoverflow_question,Permission denied to execute Jboss on Intellij,"R,Java",2021,devops_cloud,devops_cloud,devops_cloud
stackoverflow_question,Java varargs method with single null argument,Java,2022,developer tools,developer tools,developer tools
stackoverflow_question,How to extract string if delimiter exist in Python,"R,Python",2022,developer tools,developer tools,developer tools
stackoverflow_question,Pandas str.extract returning NaN,"R,Python",2022,data_ai,data_ai,data_ai
stackoverflow_question,Ruby: different values of self inside lambda when using instance_eval(&lambda) vs instance_eval { lambda.call },"Ruby,R",2020,developer tools,developer tools,developer tools
stackoverflow_question,"Why does this program in Dennis Ritchie's ""The C Programming Language"" not work?",C,2021,embedded,embedded,embedded
stackoverflow_question,java.util.Date special date 1980-04-06: wrong hour,Java,2022,data_ai,data_ai,data_ai
stackoverflow_question,Is there a better way to check months and days to print the seasons in python? I cant use def and class or loops,Python,2021,data_ai,data_ai,data_ai
stackoverflow_question,matplotlib Axis not showing full value,Python,2021,data_ai,data_ai,data_ai
stackoverflow_question,How to get all column's first values of consecutive groups and also max of different bins of the respective group in pandas dataframe?,"R,Python",2022,data_ai,data_ai,data_ai
stackoverflow_question,Playing sound in background in python while GUI is running with tkinter,Python,2020,embedded,embedded,embedded
stackoverflow_question,"How to write Lua commands in Neovim with mod keys (Ctrl, Alt, Shift etc)",Lua,2021,developer tools,developer tools,developer tools
stackoverflow_question,"How to return 351351 int, on little endian machine?",C,2020,embedded,embedded,embedded
